,title,appId,url,icon,developer,developerId,priceText,price,free,summary,scoreText,score,currency
0,Slice It All!,com.tummygames.sliceit,https://play.google.com/store/apps/details?id=com.tummygames.sliceit,https://play-lh.googleusercontent.com/UXBR3KEHzFoJ0XYyw6XAitWKo5Jy2j7JLSKccMEboIA-HTvC0ggTOL2hw_-MWgZ5L_w,VOODOO,VOODOO,FREE,0.0,True,Tap to slice!,3.9,3.8664122,
1,Hair Challenge,com.Upperpik.HairChallenge,https://play.google.com/store/apps/details?id=com.Upperpik.HairChallenge,https://play-lh.googleusercontent.com/14aR2z00HG9xEkwRB85u75T_0BRskD65ZAuLyCkvuzrShM7X8PG9Z3zogFe7KVTB0Bc,Rollic Games,Rollic+Games,FREE,0.0,True,Grow your hair longer and win this super fun hair running game!,3.7,3.6830392,
2,Bridge Race,com.Garawell.BridgeRace,https://play.google.com/store/apps/details?id=com.Garawell.BridgeRace,https://play-lh.googleusercontent.com/hn0W0fK3betff2L4FORBaUUgk9aiYnSnXneFv9lUFyQYQ_SBaoW-IAdiDa5AUthMnFA,Supersonic Studios LTD,Supersonic+Studios+LTD,FREE,0.0,True,Build bridges till the winning stage!,3.5,3.4619365,
3,Dice Push,com.jakob.pushdice,https://play.google.com/store/apps/details?id=com.jakob.pushdice,https://play-lh.googleusercontent.com/jqHJnmXgfGuI01HSrzM5fRlD7aUbC3feBvA95E6NFQSroO3tKsOvrdiYiXCkNtr9TUg,VOODOO,VOODOO,FREE,0.0,True,Play against millions of players and push them off the board!,2.6,2.6367924,
4,Make It Fly!,com.make.it.fly,https://play.google.com/store/apps/details?id=com.make.it.fly,https://play-lh.googleusercontent.com/ydbOTwDqnLXn-vtDHywP3PH_2nErUA4EjgrZiOG_BNxPWQXDSQXvPupcwKBoOZYGMLk,TapNice,TapNice,FREE,0.0,True,Let your imagination and creativity fly wild! Construct amazing flying machines!,4.1,4.107143,
5,BallRun2048,com.kayac.ball_run,https://play.google.com/store/apps/details?id=com.kayac.ball_run,https://play-lh.googleusercontent.com/uO0o_OtfyOd0mAac9cABoVrOQ9kDARQ4a6a7kdw09UHJiadQe6zBEYg3V9kWoDFYHeo,KAYAC Inc.,9130285497433890351,FREE,0.0,True,Get Ball!!,3.9,3.88,
6,Paper Fold,com.game.foldpuzzle,https://play.google.com/store/apps/details?id=com.game.foldpuzzle,https://play-lh.googleusercontent.com/OkAca1-iQ1WD5IAsTt9AKvc6YmJgG5RJzpYKwketuV6k_0XCB2yEzkD4N6-enXazHT3x,Good Job Games,Good+Job+Games,FREE,0.0,True,Fold to Unfold,4.5,4.5485764,
7,Suspects: Mystery Mansion,com.wildlifestudios.free.online.games.suspects,https://play.google.com/store/apps/details?id=com.wildlifestudios.free.online.games.suspects,https://play-lh.googleusercontent.com/8LXWOqHA1q2NYSaBYJN8TDJaDK93t9K_x8KWaipMzs8apiFv904gzO5lE3zT1AJtND-d,Wildlife Studios,7486557340409834297,FREE,0.0,True,Play this free online game with friends! Use your strategy to find the killer!,4.3,4.267281,
8,War of Rafts: Crazy Sea Battle,war.of.islands,https://play.google.com/store/apps/details?id=war.of.islands,https://play-lh.googleusercontent.com/LReyXzHlatDYiyXIyHZQTjDFfdUvH54pkXDrikK6KzwWHUNAaTUUr7UW3oImsP8u1TA,CASUAL AZUR GAMES,8232174611457920989,FREE,0.0,True,Grow &amp; fortify your raft to win the sea battle royale! Destroy &#39;em all!,4.4,4.422392,
9,"Fidget Toys 3D - Fidget Cube, AntiStress & Calm",com.cdgames.fidget3d,https://play.google.com/store/apps/details?id=com.cdgames.fidget3d,https://play-lh.googleusercontent.com/Q5itQKizV8KukUnOyjyC-HZ6tfSkhsKi61CaMUBmvhlHqBef-tjqSmYUGwSYbioD7JoZ,Fidget Dev,Fidget+Dev,FREE,0.0,True,"Fidget Cube 3D, Pop it, AntiStress &amp; Relaxing Toys",3.8,3.809816,
10,State.io - Conquer the World in the Strategy Game,io.state.fight,https://play.google.com/store/apps/details?id=io.state.fight,https://play-lh.googleusercontent.com/4lLVrwi8nzLKe7tVapcbuLDzDtzmHUI88aSIJQt5t2uz_gmRwATJHxVBo-4AIdgUf3Y,CASUAL AZUR GAMES,8232174611457920989,FREE,0.0,True,"React quickly in the cells expansion war, conquer states and win the epic clash!",4.0,3.9794006,
11,Plunger Hero,com.aa.lockemsandman,https://play.google.com/store/apps/details?id=com.aa.lockemsandman,https://play-lh.googleusercontent.com/AdMoz7-7ovUWKERJ_Um21WQR4mrgh68a5Vokn86LvgGHBSojcniEgKiWilSLnDjkEFuL,VOODOO,VOODOO,FREE,0.0,True,"Aim, shoot... pull and break them all!",4.1,4.1009173,
12,Muscle Rush - Smash Running Game,com.muscle.rush,https://play.google.com/store/apps/details?id=com.muscle.rush,https://play-lh.googleusercontent.com/MHNwWG2hfjPiBCvII--geihlEMD_dzUyAld-Z1r4NRj0BnyHFuBEV_V0DtAiBU4j77Y,SayGames,SayGames,FREE,0.0,True,Pump up your Muscles and сrush bad guys to Run this crazy Obstacle Course,4.3,4.261682,
13,High Heels!,com.uncosoft.highheels,https://play.google.com/store/apps/details?id=com.uncosoft.highheels,https://play-lh.googleusercontent.com/DIjHelZy9xnaJWbsiNhhS_1xmLYwwHJr0KMTl19ZxtPolzKWAVQhnvr-FTsNUPODSQ,Zynga,6690081412016968981,FREE,0.0,True,Be ready to master the runway!,4.1,4.138782,
14,Jelly Dye,com.game.colorslime,https://play.google.com/store/apps/details?id=com.game.colorslime,https://play-lh.googleusercontent.com/Se9LV8WLaPEVcnnFBX9TaveO-kEeMjP-efIzPUHDzKAjVtCX-G8vITCn3_JU4vgSU0U,Good Job Games,Good+Job+Games,FREE,0.0,True,Relaxing Slime Game,4.2,4.216245,
15,Solar Smash,com.paradyme.solarsmash,https://play.google.com/store/apps/details?id=com.paradyme.solarsmash,https://play-lh.googleusercontent.com/9oKsgghjeohO1ztpmG6SrIMAVLn8sAhwsRGKHuOaqfMghYWiFHJ1osjwf_fAaMQZA5Y,Paradyme Games,7923322729985684144,FREE,0.0,True,Planet destruction simulator,4.6,4.6427507,
16,Bounce and collect,com.dorotheebrondes.bounceandcollect,https://play.google.com/store/apps/details?id=com.dorotheebrondes.bounceandcollect,https://play-lh.googleusercontent.com/P_TTxdRWAGyFJ1cYQxRK7hrbtDOpiO-ftCCyiB4d0Pk5OOySdlDT3GzVJNYFZW819w,VOODOO,VOODOO,FREE,0.0,True,More balls!!!,3.4,3.3893805,
17,Merge Tales,com.mergegame.candy,https://play.google.com/store/apps/details?id=com.mergegame.candy,https://play-lh.googleusercontent.com/SylFQFmdLP40w4F6Z-6xGXR_ByZOqY1TCKqS_MMsC35yJNyP4r6yxW70qMbMyTXL0slK,MergeGames,MergeGames,FREE,0.0,True,Explore a mystical island and build your own fairy tale world in Merge Tales,4.7,4.7463,
18,Roblox,com.roblox.client,https://play.google.com/store/apps/details?id=com.roblox.client,https://play-lh.googleusercontent.com/R5hLCLt947e0R9q0KZJeMQJu-zkeB601mKyJqYZIvb1sVz0xgplkH0etKIvZOmlRXDU,Roblox Corporation,5360036014478858866,FREE,0.0,True,"Roblox lets you play, create, and be anything you can imagine.",4.5,4.526761,
